Time(ms),AcX,AcY,AcZ,TotalAccel
8500,32767,-32768,-22024,51307.65
8550,24684,-6824,-17576,31060.95
8600,-32768,32767,9616,47327.43
8650,-19464,-812,9396,21628.486
8700,32767,-32768,-32768,56755.26
8750,22152,-6936,-12808,26511.584
8800,-32768,32767,8936,47193.965
8850,-20888,4852,8180,22951.314
8900,32767,-32768,-32768,56755.26
8950,19184,-428,-14892,24289.518
9000,-32768,32767,5048,46614.38
9050,-18592,1972,5336,19442.842
9100,32767,-32768,-32768,56755.26
9150,19424,-7620,-14704,25525.748
9200,-32768,32767,9200,47244.664
9250,-19496,2616,9124,21683.746
9300,32767,-32768,-32768,56755.26
9350,18036,-3908,-12868,22497.893
9400,-32768,32767,6600,46807.883
9450,-17844,10636,8944,22616.982
9500,32767,-32768,-32768,56755.26
9550,21900,-5828,-15572,27496.594
9600,-32768,32767,12028,47875.785
9650,-22584,-2492,8464,24246.37
9700,32767,-32768,-32768,56755.26
9750,20836,-1760,-10036,23193.916
9800,-32768,32767,7368,46922.336
9850,-17044,-336,7476,18614.547
9900,32767,-32768,-32768,56755.26
9950,21212,-4732,-15992,26983.047
10000,-32768,32767,12464,47987.18
10050,-17492,-11188,5304,21430.674
10100,32767,-32768,-32768,56755.26
10150,21860,124,-10140,24097.604
10200,-32704,32767,13064,48102.973
10250,-15424,-7984,5316,18163.256
10300,32767,-32768,-32768,56755.26
10350,21776,-1724,-10564,24264.469
10400,-32736,32767,14048,48401.117
10450,-12480,-5312,4440,14271.697
10500,32767,-32768,-32768,56755.26
10550,21532,-4108,-13016,25493.508
10600,-32768,32767,11448,47733.37
10650,-16340,-1100,8440,18423.875
10700,32767,-32768,-32768,56755.26
10750,21448,-1160,-11312,24275.988
10800,-32768,32767,11800,47819.01
10850,-13924,1960,8872,16626.236
10900,32767,-32768,-32768,56755.26
10950,24316,-2892,-14172,28292.703
11000,-32768,32767,17292,49461.41
11050,-13424,-32768,6344,35974.88
11100,32767,-32768,-32768,56755.26
11150,13416,1844,-10448,17104.096
11200,-32768,32767,17060,49380.78
11250,-6460,-32768,-6292,33986.21
11300,32767,-32768,-32768,56755.26
11350,6448,-1084,5204,8356.637
11400,-32208,32767,17356,49114.79
11450,-11284,-23828,1600,26413.297
11500,32767,-32768,-32768,56755.26
11550,19392,280,4400,19886.88
11600,-32768,32767,20968,50863.297
11650,3860,-32768,-6072,33548.633
11700,32767,-10136,-32768,47435.816
11750,9520,-5732,9276,14475.165
11800,-32768,32767,26232,53249.75
11850,-76,-32768,-20504,38654.387
11900,32767,-27468,-32488,53699.51
11950,-23304,28844,7836,37900.6
12000,-28164,32767,12296,44923.03
12050,23864,-32768,-26640,48506.926
12100,10288,-20204,-28628,36518.582
12150,-32768,32767,12104,47894.938
12200,-21036,7752,10392,24710.33
12250,32767,-32768,-29404,54881.812
12300,25864,-13224,-23228,37193.555
12350,-30832,32767,14044,47133.027
12400,-24924,32767,15084,43845.285
12450,15504,-32768,-29356,46646.44
12500,17912,-23064,-32768,43892.25
12550,-12376,19328,11836,25823.01
12600,-32768,32767,11596,47769.086
12650,2448,-32768,-16692,36855.9
12700,17236,-16344,-32768,40471.57
12750,-7652,19404,12436,24284.2
12800,-26312,32767,17336,45459.152
12850,21284,-32768,-27824,47967.96
12900,27408,-22384,-32128,47795.92
12950,-6288,20992,12912,25434.676
13000,-31792,32767,12900,47442.78
13050,32767,-32768,-26268,53267.492
13100,19108,-13744,-31180,39066.68
13150,-16452,23856,15936,33071.637
13200,-28876,31736,15320,45559.844
13250,31128,-32768,-30280,54401.953
13300,20304,-16924,-30828,40608.37
13350,-21584,32767,18020,43177.145
13400,-16716,10664,13356,23906.656
13450,32767,-32768,-32768,56755.26
13500,17912,-14380,-29912,37714.082
13550,-16432,18512,15504,29207.512
13600,-25380,32767,16784,44716.03
13650,21696,-30676,-19740,42442.914
13700,20568,-32768,-32768,50700.355
13750,-4708,28088,16168,32749.125
13800,-29772,32767,20000,48580.33
13850,27560,-32768,-32768,53916.945
13900,20176,-2360,-21640,29680.469
13950,-27668,32767,20248,47425.48
14000,-19604,-6000,8184,22074.752
14050,32767,-32768,-32768,56755.26
14100,14548,576,-11208,18373.768
14150,-32768,32767,17020,49366.977
14200,11768,-32768,-3912,35036.14
14250,32767,-28032,-32768,54159.13
14300,9904,8612,-188,13125.971
14350,-30640,32767,24836,51276.824
14400,2948,-32768,-7772,33805.863
14450,32767,-18872,-32768,50035.69
14500,10512,11668,-2860,15963.207
14550,308,-13496,-16220,21102.732
14600,12376,-6236,-11996,18329.133
14650,-1824,-12908,-14728,19668.691
14700,7308,-1504,-12668,14701.942
14750,-4344,-14980,-9888,18467.357
14800,5144,-11676,-12792,18067.234
14850,8820,-3652,-11200,14716.301
14900,12428,-6804,-16788,21967.852
14950,10564,-9884,-7920,16492.967
