Time(ms),AcX,AcY,AcZ,TotalAccel
8950,-20448,32767,-11940,40427.227
9000,4780,-32768,-32768,46586.824
9050,-12188,30900,-8528,34294.082
9100,14756,-32768,-14188,38636.52
9150,-13136,27560,-6620,31239.918
9200,9592,-32768,-21464,40329.29
9250,-2692,5736,-12864,14339.842
9300,-12432,-11412,-16476,23584.887
9350,-1732,-5272,-13256,14370.642
9400,1940,-17736,-19464,26404.102
9450,1980,-1096,-13440,13629.204
9500,2768,-5052,-14296,15412.986
9550,4468,-8944,-10012,14149.145
9600,-2788,-4168,-16656,17394.467
9650,15044,-19684,-7836,25984.314
9700,12704,-9956,-10944,19500.889
9750,9564,-4428,-13072,16791.5
9800,4120,-10600,-13980,18021.51
9850,4992,-8040,-13784,16720.057
9900,10024,-7152,-12540,17575.074
9950,7268,-9112,-13000,17460.021
10000,5084,-7648,-14056,16790.178
10050,7260,-8688,-13328,17487.84
10100,8392,-7760,-12944,17268.19
10150,6616,-8252,-13332,17017.908
10200,6212,-8408,-13580,17137.672
10250,7252,-8188,-13204,17145.86
10300,7548,-8112,-13184,17221.924
10350,7516,1068,-14940,16758.117
10400,4576,-14468,-11676,19146.586
10450,5600,-11188,-12712,17836.094
10500,18476,-5792,-12900,23266.281
10550,168,-10648,-16568,19695.348
10600,14028,-12412,-14732,23830.115
10650,4616,-11652,-16556,20764.818
10700,7392,-6260,-14272,17248.746
10750,112,-7932,-11896,14298.391
10800,-6536,-8128,-11540,15554.912
10850,-2400,-9784,-12028,15689.469
10900,4384,-8404,-14064,16960.033
10950,-2496,-7876,-11636,14270.876
11000,-2612,-12104,-12880,17866.834
11050,-3888,-10784,-12048,16630.258
11100,-32768,32767,-15200,48769.438
11150,32767,-32768,32767,56754.688
11200,-24528,-12584,-12628,30322.371
11250,-28580,5224,-15232,32804.273
11300,21276,-15732,-7308,27451.244
11350,4780,-11860,-12000,17535.906
11400,-4244,-12096,-13908,18914.47
11450,3376,-12396,-12732,18087.621
11500,8504,-11568,-12168,18820.12
11550,1884,-6160,-12720,14258.102
11600,-664,-9068,-11244,14460.188
11650,-56,-8960,-12392,15292.037
11700,-6932,-4732,-11640,14350.402
11750,-32768,32767,-6264,46761.69
11800,32767,-32768,22264,51411.125
11850,-572,-4476,-11372,12234.547
11900,-19672,4780,-12032,23550.053
11950,5400,-8544,-11376,15217.533
12000,2892,-16180,-13280,21130.889
12050,1132,-11696,-13620,17988.393
12100,3396,-12392,-12972,18258.348
12150,5876,-9324,-13064,17091.883
12200,2064,-7404,-13036,15133.295
12250,968,-6696,-11748,13556.878
12300,-800,-8236,-12180,14724.948
12350,-5988,-9120,-11648,15959.525
12400,-32768,32767,-3660,46484.555
12450,32767,-32768,25140,52720.37
12500,-15768,-32744,-17620,40388.906
12550,-26172,15864,-14276,33770.465
12600,19128,-16816,-6996,26412.16
12650,2972,-13528,-12640,18751.244
12700,-5580,-7848,-14204,17160.453
12750,3968,-14316,-13140,19833.115
12800,4212,-6232,-12428,14527.008
12850,-2784,-9972,-14004,17415.61
12900,660,-3068,-13476,13836.575
12950,-1272,608,-12224,12305.032
13000,-5896,4912,-11432,13768.849
13050,-7272,13864,-7004,17150.758
13100,10548,-32768,-13496,36974.914
13150,26408,-22032,-15728,37817.477
13200,-5272,-9036,-16500,19536.97
13250,9372,-3856,-10752,14775.2705
13300,11228,-26524,-12764,31504.13
13350,6788,-11400,-11132,17319.307
13400,10884,-5768,-8444,14934.27
13450,23008,-19728,-5816,30860.783
13500,6732,112,432,6746.7764
13550,12564,4236,-17600,22035.375
13600,5020,-17584,-8108,20003.428
13650,10496,-13908,-9188,19698.168
13700,13172,-1872,-11164,17367.81
13750,10244,-11000,-10232,18183.326
13800,6436,-9036,-12340,16593.584
13850,6736,-7448,-11980,15632.236
13900,10940,-9504,-10772,18056.732
13950,10156,-7676,-11548,17187.834
14000,7892,-8948,-12096,16990.102
14050,8792,-8912,-11864,17247.537
14100,10064,-8196,-11432,17295.928
14150,9288,-8828,-11728,17370.852
14200,8432,-8596,-12056,17039.277
14250,9244,-8704,-11684,17254.768
14300,9568,-8584,-11624,17330.582
14350,8960,-8732,-11728,17148.627
14400,8872,-8748,-11784,17149.418
14450,9344,-8632,-11584,17204.965
14500,9276,-8688,-11548,17172.123
14550,8952,-8780,-11812,17226.434
14600,9032,-8628,-11820,17196.855
14650,9284,-8688,-11640,17238.434
14700,9128,-8624,-11620,17109.008
14750,8936,-8620,-11756,17098.54
14800,9100,-8712,-11768,17239.338
14850,9116,-8676,-11720,17196.885
14900,9072,-8716,-11740,17207.482
14950,9296,-8488,-12092,17455.033
