Time(ms),AcX,AcY,AcZ,TotalAccel
0,24108,-21596,-18844,37452.36
50,-1952,-2560,-11120,11576.628
100,-1336,400,-11012,11099.957
150,-5152,-5724,-13100,15195.963
200,-5248,-6340,-14572,16735.6
250,-1212,-7076,-15040,16665.543
300,728,-3660,-14856,15317.517
350,-1728,-7024,-15436,17046.777
400,-2632,-3096,-14224,14793.066
450,-7224,-1592,-14200,16011.266
500,-8592,4608,-11424,15018.785
550,-12992,10116,-7796,18218.209
600,32767,-32768,-12432,47978.88
650,13076,-28984,-16512,35828.76
700,-2220,-1984,-11028,11422.848
750,-1532,-408,-11620,11727.655
800,-6100,-3072,-13264,14919.145
850,-5280,-4704,-14436,16074.953
900,-2672,-5248,-15300,16394.238
950,-572,-6624,-16124,17440.984
1000,-1200,-4960,-15504,16322.243
1050,-2204,-3048,-13908,14407.65
1100,-5624,-668,-13548,14684.138
1150,-11004,3960,-11868,16661.904
1200,-12760,23576,-8264,28052.434
1250,29020,-32768,-1224,43788.13
1300,32767,-32324,-14156,48155.06
1350,-7872,-6944,-11548,15605.891
1400,2480,-932,-9312,9681.548
1450,-1124,516,-11128,11196.518
1500,-7600,-1788,-13052,15208.934
1550,-7416,-4504,-14496,16894.291
1600,-2320,-2636,-14428,14849.178
1650,-1224,-5368,-14724,15719.726
1700,-2444,-5072,-14644,15689.011
1750,-4932,224,-13200,14093.076
1800,-7196,5608,-9992,13530.415
1850,-14520,21096,-7348,26643.287
1900,13928,-30208,2440,33353.65
1950,32767,-32768,-8248,47068.54
2000,-2512,-14904,-15768,21841.914
2050,-1148,4,-8528,8604.923
2100,-8576,4824,-8136,12767.664
2150,-16700,28708,-7384,34022.973
2200,7008,-32768,-16020,37141.543
2250,9776,-19592,-18508,28669.893
2300,1900,-5364,-16088,17064.766
2350,3964,-5924,-14808,16434.23
2400,-1712,-9716,-13680,16866.357
2450,-6716,-9456,-11812,16554.271
2500,-8472,-608,-9896,13041.291
2550,-25616,24304,-500,35314.5
2600,-8100,32767,13144,36222.242
2650,30472,-32768,-32768,55461.938
2700,12204,-32768,-22696,41686.785
2750,-12720,-6032,-10624,17636.69
2800,-5696,3552,-10736,12661.864
2850,-6032,4876,-10032,12680.75
2900,-12176,5908,-11628,17842.92
2950,28760,-32768,-25912,50717.957
3000,-904,-14464,-17272,22546.541
3050,-7456,4056,-7764,11503.163
3100,-12840,15920,-7976,21952.871
3150,-2076,20460,-2964,20777.55
3200,32767,-32768,-17832,49652.777
3250,1556,3140,-12160,12654.894
3300,-11100,9272,-11984,18782.871
3350,7316,5596,-5484,10719.764
3400,18780,-32768,-23396,44427.504
3450,-204,5420,-9540,10974.043
3500,-8084,15668,-7992,19357.41
3550,-2760,12960,-8396,15686.683
3600,13432,-32768,-23072,42266.742
3650,-2888,-4500,-14808,15743.806
3700,-11428,13176,-12308,21346.967
3750,15136,-24880,-8384,30305.188
3800,11624,-20544,-13884,27385.01
3850,-8152,6252,-10944,15010.454
3900,-10592,17460,-9432,22494.547
3950,17768,-32768,-14580,40025.242
4000,5576,-14164,-14880,21286.734
4050,-8968,8872,-10940,16697.934
4100,-8016,9472,-11408,16855.785
4150,7948,-32768,-23028,40831.375
4200,1444,-6060,-13788,15130.025
4250,-4388,2952,-12664,13723.911
4300,2912,-7580,-10724,13451.406
4350,268,-18848,-16308,24925.283
4400,160,-5636,-13860,14962.944
4450,584,-5076,-13132,14090.999
4500,1680,-15256,-14860,21363.229
4550,-1188,1324,-12456,12582.379
4600,3844,-18600,-14412,23842.023
4650,1272,-10836,-13700,17513.62
4700,-3812,-3852,-12964,14051.141
4750,212,-13012,-14064,19161.242
4800,888,-9792,-13420,16636.352
4850,380,-11828,-13932,18279.678
4900,-3584,-2796,-11620,12477.463
4950,-600,-13896,-15252,20641.762
5000,2700,-11160,-14224,18279.982
5050,-1952,-6608,-13180,14872.403
5100,2828,-15440,-13308,20578.97
5150,-3528,-9488,-12880,16381.799
5200,1900,-5584,-12920,14202.728
5250,6068,-18344,-14016,23869.88
5300,-17112,468,-14084,22167.512
5350,26548,-25980,-12304,39129.848
5400,-10704,-8928,-13952,19721.64
5450,8132,2584,-9524,12787.223
5500,-2020,-17676,-16724,24417.484
5550,2428,-7748,-14104,16274.197
5600,6484,-16584,-13240,22189.387
5650,-9236,3984,-13012,16446.521
5700,16760,-31208,-15924,38838.26
5750,-14428,3240,-13280,19875.19
5800,10824,-30768,-14352,35634.375
5850,-8568,-3168,-11268,14505.677
5900,-4540,-14004,-15884,21656.986
5950,11900,-13440,-10200,20646.637
6000,-11812,-9560,-14480,20990.172
6050,16792,-13044,-6412,22208.803
6100,-7200,-9068,-14600,18634.07
6150,18520,-16144,-2232,24669.84
6200,1152,-14264,-14144,20120.674
6250,5496,-10044,-7336,13597.973
6300,7960,-22900,-16256,29189.537
6350,-120,8700,-8552,12200.045
6400,-5204,-16116,-16152,23402.867
6450,19004,-11040,-10216,24236.342
6500,-11784,-5340,-14908,19738.965
6550,14732,-32768,-14376,38696.81
6600,-22228,17328,-14816,31841.127
6650,11568,-32768,-19600,39896.37
6700,-18100,15968,-15500,28685.135
6750,2052,-32768,-20344,38624.227
6800,-16792,32767,-6060,37314.49
6850,-12224,-8960,-19044,24338.893
6900,-5152,12212,-5572,14377.873
6950,-8276,-15568,-13780,22377.291
7000,-704,4840,-9232,10447.537
7050,9324,-32180,-17420,37761.695
7100,-13368,24692,-11632,30392.46
7150,14908,-32768,-23564,43026.184
7200,-20660,25640,-15848,36543.184
7250,5888,-32768,-26588,42606.715
7300,-15756,32767,-10520,37849.68
7350,17696,-32768,-21960,43233.457
7400,-20824,32767,-14088,41301.17
7450,8708,-32768,-23596,41307.895
7500,-17544,31196,-14864,38754.62
7550,8340,-32768,-30544,45565.703
7600,-13292,32260,-10352,36394.35
7650,3968,-23052,-15096,27839.342
7700,-6984,32767,-2796,33619.49
7750,2848,-10948,-17856,21137.799
7800,-2320,32767,-3724,33059.445
7850,10280,-11276,-12508,19730.096
7900,-4520,18856,-6908,20583.965
7950,7016,-29356,-17528,34903.15
8000,-9396,11896,-11288,18900.227
8050,3936,-25292,-17484,30997.863
8100,-3904,4272,-10936,12372.845
8150,7152,-32564,-20100,38930.39
8200,-21328,20532,-13936,32720.922
8250,13444,-32768,-32076,47784.438
8300,-32632,18808,-15900,40882.74
8350,12796,-32768,-11456,36996.207
8400,-32128,7996,-15080,36380.637
8450,14248,-31124,-12844,36560.598
8500,-8740,-5476,-15836,18898.494
8550,-7156,-10796,-8096,15274.3955
8600,3632,-16188,-15824,22926.877
8650,-25420,9300,-10720,29113.309
8700,5576,-25396,-26808,37345.914
8750,-12208,32767,-2932,35090.0
8800,17432,-26828,-13160,34594.824
8850,-14476,29316,-4844,33052.184
8900,29804,-32768,-28556,52701.664
