Time(ms),AcX,AcY,AcZ,TotalAccel,ShakeCount
7550,16876,-5672,-12040,21492.62,315
7600,15656,-3848,-9968,18954.64,315
7650,12128,-5012,-8568,15672.24,315
7700,-876,-3788,-6140,7267.46,315
7750,-32768,-3512,3572,33148.68,316
7800,26144,-17464,6424,32090.0,317
7850,32767,22984,-23720,46525.04,317
7900,5004,-8948,-11848,15667.86,317
7950,4544,-6328,-4376,8935.37,317
8000,9436,-5776,-7064,13126.32,317
8050,6524,-5128,-8976,12224.06,317
8100,3028,-5596,-8204,10382.18,317
8150,12804,-6220,-10060,17430.85,318
8200,28900,-1548,-13900,32106.33,318
8250,18400,-4632,-12500,22721.47,318
8300,13316,-4828,-10076,17382.5,318
8350,13832,-4752,-9160,17257.21,318
8400,2400,-3296,-6672,7819.16,318
8450,-32768,-5860,-996,33302.75,319
8500,24496,-15812,992,29172.89,320
8550,32767,17632,-20092,42287.73,320
8600,5292,-8496,-13216,16578.6,320
8650,6100,-5012,-6040,9940.41,320
8700,6388,-6128,-6344,10890.6,320
8750,328,-4172,-8328,9320.34,320
8800,-664,-4672,-6788,8267.13,320
8850,4764,-6968,-8400,11908.35,320
8900,31288,-2804,-11864,33579.1,321
8950,30336,-2428,-13060,33116.94,321
9000,12784,-5248,-9052,16520.01,321
9050,10152,-5024,-7712,13703.23,321
9100,3500,-3580,-7144,8723.71,321
9150,-9652,-3812,-4380,11263.96,321
9200,32767,-13452,5384,35827.64,322
9250,26172,8808,-21544,35024.25,322
9300,7076,-3112,-10276,12858.87,322
9350,12220,-8780,-5452,16004.41,323
9400,5420,-6556,-6040,10432.6,323
9450,-1036,-5924,-7856,9893.62,323
9500,1168,-3832,-7956,8907.66,323
9550,13076,-6736,-11008,18372.03,324
9600,28084,-5296,-13176,31470.08,324
9650,21028,-3360,-12652,24769.73,324
9700,12800,-5600,-10464,17455.52,324
9750,11484,-6084,-10740,16859.56,324
9800,12972,-6908,-10604,18122.86,324
9850,11092,-2956,-8944,14552.17,324
9900,-32768,5644,2708,33360.6,325
9950,32767,-15500,8068,37135.14,326
10000,32767,-1864,-24576,41001.59,326
10050,1548,-13988,-12996,19156.11,326
10100,7488,-8292,-4324,11980.17,327
10150,6720,-2340,-6672,9754.46,327
10200,8788,-4656,-8136,12849.19,327
10250,17404,-3300,-10048,20365.45,328
10300,18172,-6364,-12184,22785.35,328
10350,19872,-5052,-11664,23589.57,328
10400,16832,-3528,-10636,20220.97,328
10450,13844,-4500,-8016,16618.14,328
10500,-29172,-1292,-3672,29430.57,329
10550,392,-996,11760,11808.61,329
10600,32767,20744,-19976,43623.74,330
10650,9204,-10348,-11096,17745.87,330
10700,-900,-11188,-6032,12742.31,331
10750,5476,1200,-4700,7315.5,332
10800,6868,-17180,-8460,20344.37,333
10850,5240,-4424,-6680,9573.49,333
10900,16360,-4168,-7276,18383.74,334
10950,32767,-3196,-12392,35177.44,334
11000,16232,-7656,-15488,23705.91,334
11050,12752,-2460,-10816,16901.21,334
11100,8472,-4184,-7964,12357.42,334
11150,960,-2652,-5472,6156.09,334
11200,-32768,816,5788,33285.26,335
11250,32767,-23496,6680,40870.05,336
11300,32767,32767,-1988,46382.16,336
11350,-14044,-7764,-12468,20321.53,337
11400,-96,-6568,-3984,7682.45,338
11450,-36,-3848,-7348,8294.67,338
11500,6352,-7288,-7924,12500.1,338
11550,11004,-2692,-8808,14349.76,338
11600,14604,-3832,-11688,19093.73,340
11650,29320,-2752,-14048,32627.94,340
11700,21548,-3812,-13140,25524.64,340
11750,15320,-4076,-9724,18597.64,340
11800,7760,-4876,-6856,11445.42,340
11850,-3496,-2036,-4496,6048.25,340
11900,-32768,5064,584,33162.13,341
11950,32767,11404,5516,35130.52,342
12000,32767,-3264,-12644,35273.23,342
12050,6064,-8848,-7536,13109.18,342
12100,9040,-8356,-6720,14025.08,342
12150,20716,-2720,-7636,22245.44,343
12200,6456,1532,-6624,9375.73,343
12250,-32768,-5144,260,33170.32,344
12300,-344,-464,11880,11894.03,344
12350,32767,32767,8384,47091.87,345
12400,-7464,-8036,-360,10973.52,345
12450,-32768,-13632,13760,38064.56,346
12500,32767,284,16460,36670.0,346
12550,32767,4096,-8688,34145.79,346
12600,-32768,-3968,6012,33550.43,347
12650,-12356,-2500,6428,14150.62,347
12700,32767,32767,12036,47877.11,349
12750,-920,900,-9220,9309.39,349
12800,-32768,-6520,4120,33663.43,350
12850,32767,-584,-3584,32967.6,351
12900,32767,20932,-21624,44490.7,351
12950,-32768,-3364,2268,33018.21,352
13000,-19984,-6596,4500,21520.16,352
13050,32767,17888,-5332,37710.57,353
13100,9704,-3956,-5568,11866.77,353
13150,-32768,-11020,6908,35254.82,354
13200,32767,-6856,-5720,33961.73,355
13250,32767,8640,-17352,38071.22,355
13300,-32768,-7924,3044,33849.63,356
13350,-17044,-5336,4348,18381.4,356
13400,32767,17784,-7588,38046.35,357
13450,8544,-3316,-4240,10098.19,357
13500,-32768,-13420,6512,36003.39,358
13550,22008,-9196,-3448,24099.94,359
13600,32767,18676,-15728,40863.67,359
13650,-25192,-7104,700,26183.84,360
13700,-26464,-5768,4000,27379.06,360
13750,32767,10760,-8204,35450.8,361
13800,14200,-1080,-6644,15714.62,361
13850,-32768,-7568,4584,33941.56,362
13900,32767,-11856,-5844,35332.61,363
13950,28624,8000,-17012,34245.31,363
14000,-32768,-10240,2160,34398.62,364
14050,22968,-8668,-4152,24897.84,365
14100,32767,3232,-16596,36872.07,365
14150,-12620,-11292,-1760,17025.61,366
14200,2816,928,-772,3063.82,368
14250,32767,-2900,-6952,33621.67,369
14300,5424,1588,-10028,11510.96,369
14350,1236,-7760,-16668,18427.36,372
14400,17460,-10020,-18928,27631.89,373
14450,25436,-7772,-9944,28395.02,373
14500,-4656,888,-15216,15937.17,374
14550,20896,-1212,-8428,22564.2,375
14600,17264,-820,-8420,19225.36,375
14650,15224,-5628,-7700,17964.81,375
14700,11892,-5296,-8136,15351.28,375
14750,15544,-4616,-6060,17310.31,375
14800,13544,-2984,-9860,17016.57,375
14850,10124,-5660,-9576,15040.97,376
14900,15696,-3872,-9096,18549.77,376
14950,13404,-4156,-9720,17070.97,376
